id;account_id;payment_form_id;fixed;percentual
262741;1134043;104;0,21;2,78
262740;1134043;103;0,21;3,68
262475;1123085;93;0,43;5,58
262474;1123085;88;0,43;2,57
262473;1123085;83;0,43;2,57
262471;1123085;76;0,43;5,58
262470;1123085;75;0,43;5,58
262461;1123085;6;0,43;5,58
262460;1123085;5;0,43;5,58
262459;1123085;4;0,43;5,58
262462;1123085;7;0,43;5,58
262463;1123085;8;0,43;5,58
262464;1123085;10;0,43;2,57
262465;1123085;12;0,43;2,57
262466;1123085;13;0,43;2,57
262467;1123085;21;0,43;2,57
262468;1123085;22;0,43;2,57
262458;1123085;3;0,43;5,58
262457;1123085;1;0,43;2,57
262469;1123085;73;0,43;2,57
262476;1123085;101;0,43;2,57
262472;1123085;82;0,43;5,58
262040;1122845;88;0,28;2,64
262032;1122845;13;0,28;2,64
262024;1122845;3;0,28;2,64
262025;1122845;4;0,28;2,64
262026;1122845;5;0,28;2,64
262027;1122845;6;0,28;2,64
262028;1122845;7;0,28;2,64
262036;1122845;75;0,28;2,64
262035;1122845;73;0,28;2,64
262034;1122845;22;0,28;2,64
262033;1122845;21;0,28;2,64
262029;1122845;8;0,28;2,64
262031;1122845;12;0,28;2,64
262023;1122845;1;0,28;2,64
262044;1122845;104;0,28;2,64
262043;1122845;103;0,28;2,64
262041;1122845;93;0,28;2,64
262045;1122845;105;0,28;2,64
262046;1122845;106;0,28;2,64
262037;1122845;76;0,28;2,64
262038;1122845;82;0,28;2,64
262039;1122845;83;0,28;2,64
262030;1122845;10;0,28;2,64
262042;1122845;101;0,28;2,64
261833;1109044;8;0,43;3,24
261828;1109044;3;0,43;6,60
261829;1109044;4;0,43;6,60
261830;1109044;5;0,43;6,60
261832;1109044;7;0,43;6,60
261834;1109044;10;0,43;3,24
261846;1109044;101;0,43;3,24
261845;1109044;93;0,43;6,60
261844;1109044;88;0,43;3,24
261843;1109044;83;0,43;3,24
261842;1109044;82;0,43;3,24
261841;1109044;76;0,43;6,60
261831;1109044;6;0,43;6,60
261839;1109044;73;0,43;3,24
261838;1109044;22;0,43;3,24
261837;1109044;21;0,43;3,24
261836;1109044;13;0,43;3,24
261835;1109044;12;0,43;3,24
261840;1109044;75;0,43;6,60
262537;1108801;1;0,43;2,8
262538;1108801;3;0,43;6,94
262544;1108801;10;0,43;2,8
262553;1108801;83;0,43;2,8
262556;1108801;101;0,43;2,8
262555;1108801;93;0,43;6,94
262554;1108801;88;0,43;2,8
262552;1108801;82;0,43;6,94
262551;1108801;76;0,43;6,94
262549;1108801;73;0,43;2,8
262548;1108801;22;0,43;2,8
262547;1108801;21;0,43;2,8
262539;1108801;4;0,43;6,94
262540;1108801;5;0,43;6,94
262541;1108801;6;0,43;6,94
262542;1108801;7;0,43;6,94
262543;1108801;8;0,43;2,8
262550;1108801;75;0,43;6,94
262545;1108801;12;0,43;2,8
262546;1108801;13;0,43;2,8
261754;1104863;7;0,77;4,46
261768;1104863;101;0,77;4,46
261767;1104863;93;0,77;4,46
261764;1104863;82;0,77;4,46
261750;1104863;3;0,77;4,46
261751;1104863;4;0,77;4,46
261752;1104863;5;0,77;4,46
261753;1104863;6;0,77;4,46
261766;1104863;88;0,77;4,46
261765;1104863;83;0,77;4,46
261763;1104863;76;0,77;4,46
261755;1104863;8;0,77;4,46
261756;1104863;10;0,77;4,46
261757;1104863;12;0,77;4,46
261758;1104863;13;0,77;4,46
261759;1104863;21;0,77;4,46
261760;1104863;22;0,77;4,46
261762;1104863;75;0,77;4,46
261761;1104863;73;0,77;4,46
261871;1099117;7;0,43;6,04
261879;1099117;75;0,43;6,04
261880;1099117;76;0,43;6,04
261881;1099117;82;0,43;6,04
261882;1099117;83;0,43;3,24
261867;1099117;3;0,43;6,04
261874;1099117;12;0,43;3,24
261878;1099117;73;0,43;3,24
261877;1099117;22;0,43;3,24
261872;1099117;8;0,43;3,24
261873;1099117;10;0,43;3,24
261875;1099117;13;0,43;3,24
261870;1099117;6;0,43;6,04
261884;1099117;93;0,43;6,04
261869;1099117;5;0,43;6,04
261868;1099117;4;0,43;6,04
261876;1099117;21;0,43;3,24
261883;1099117;88;0,43;3,24
261885;1099117;101;0,43;3,24
